# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
1.406174446662230594e+03 -7.322854594504789020e+03 1.968736732464273012e-02 3.051528568123578746e-04 6.362845507812500000e+04
3.164790656934478466e+04 1.236725654442433733e+04 1.605649953613895453e-02 -2.309420867565852725e-04 6.415324609375000000e+04
-4.500279008719056947e+03 -2.565581812992988944e+03 2.030857001843469622e-02 7.512893035187938752e-05 5.691006250000000000e+04
3.503283048956838320e+04 -1.996221593011126606e+04 1.594594868122328410e-02 8.469523222595044462e-04 6.578960546875000000e+04
8.198456885398743907e+03 5.827120032817271749e+03 1.923799851882169315e-02 -1.751358220560389185e-04 6.039834570312500000e+04
1.202441645553304625e+04 -2.582887116773606249e+04 1.642028030929289922e-02 9.388668416413145906e-04 6.418778320312500000e+04
2.660259064927936561e+04 -1.128965981040132465e+04 1.716362383972204128e-02 5.556763184334561007e-04 6.676663476562500000e+04
2.202438462897382851e+04 4.992002456024552885e+03 1.758985110023206233e-02 -4.571810195701089331e-05 5.688566015625000000e+04
3.966712421643176640e+04 -5.048225438933514852e+03 1.604151458344713413e-02 3.866418123242535039e-04 6.234438281250000000e+04
1.437848968501817762e+04 5.899794012507379193e+03 1.844048540137182071e-02 -1.311184618290788320e-04 6.047309375000000000e+04
-1.651570386413032111e+03 9.549503950601467295e+03 1.919716483126616968e-02 -3.868408209951765763e-04 6.475628320312500000e+04
2.551573094908855637e+04 3.152089894666213149e+04 1.476433791194607832e-02 -8.242783561078839694e-04 6.166269140625000000e+04
3.001408244013080548e+03 6.999004110002637390e+03 1.955716898929746317e-02 -2.602638618672588745e-04 6.418297460937500000e+04
-2.725811661340955106e+04 3.394824233543305309e+04 1.516499249218794879e-02 -1.201135395558547815e-03 5.962334960937500000e+04
3.606133843984831765e+04 -9.403519920345532228e+03 1.633682571471338496e-02 5.192951528496154729e-04 6.116511328125000000e+04
1.440856345747173691e+04 1.993102615713675050e+02 1.893226362867661203e-02 8.681892606003694410e-05 6.027135156250000000e+04
5.301406831089371735e+03 -1.827600106323318687e+04 1.757902289463067133e-02 6.912459387363555216e-04 5.672437304687500000e+04
8.389783600073849811e+03 -1.348350870883216339e+04 1.833470691182537138e-02 5.602668574258199254e-04 6.466887890625000000e+04
3.868539203044393798e+04 -1.370008725281617444e+04 1.598489464345146868e-02 6.636463685346027323e-04 6.750378125000000000e+04
3.080083897197734132e+03 -1.396277046016789791e+04 1.832738978400547461e-02 5.443040560796573142e-04 6.479133789062500000e+04
5.824091914515133249e+04 -3.147641296008983409e+04 1.400090591287758181e-02 1.188885693122376103e-03 6.201876562500000000e+04
3.297478127794821921e+04 -1.549947320816069987e+04 1.636865637077714042e-02 7.076063604762267232e-04 6.600565234375000000e+04
1.140973174852418197e+04 3.708204234662563977e+04 1.476781269670131638e-02 -1.066021100258558946e-03 5.691388671875000000e+04
2.411679042024659066e+04 9.912565930884939007e+03 1.694433595530269593e-02 -2.026743215392982705e-04 5.780894921875000000e+04
4.635112419792658329e+04 1.922912518317663853e+03 1.534067180446432865e-02 1.860060303861035260e-04 6.437015234375000000e+04
2.179286657360838944e+04 4.560741725617973862e+04 1.369958667559794015e-02 -1.180219210027212782e-03 6.321653320312500000e+04
8.252427282648895925e+03 5.695151986896529706e+03 1.925305661244741326e-02 -1.697038686093387233e-04 5.561770507812500000e+04
-4.665803389225204228e+03 1.627670207919629138e+04 1.791542919380524276e-02 -6.269954849559693537e-04 6.287602148437500000e+04
1.198457848148981975e+04 -5.802288600682455581e+03 1.916719221356863456e-02 3.076280512852386999e-04 6.618892578125000000e+04
1.612628874204346539e+04 4.293719963168223330e+04 1.408530009528339254e-02 -1.163662804746255081e-03 6.004650000000000000e+04
2.389031363271407372e+03 2.913835191093685717e+04 1.590174857612715667e-02 -9.377497224568958310e-04 6.227632421875000000e+04
-1.097871120671071185e+04 8.465287283888505044e+03 1.897015090969123019e-02 -4.014422564886509118e-04 5.821335546875000000e+04
2.185209757630685272e+04 6.098885812002784223e+04 1.257893738375387080e-02 -1.484202041634276759e-03 4.721690625000000000e+04
1.296079046951157943e+04 3.221890433361077612e+03 1.892755704664497024e-02 -3.997786868684156264e-05 6.172623632812500000e+04
-5.973210247606306439e+03 4.935773799640477955e+04 1.389981235839296385e-02 -1.440276750174239451e-03 6.309667382812500000e+04
2.188352867651641645e+04 4.086072633095076890e+04 1.408757200433833311e-02 -1.075215841601348098e-03 6.154101367187500000e+04
9.794282382353030698e+02 1.834875542126409346e+04 1.747955598247000544e-02 -6.518354118673464577e-04 6.109988867187500000e+04
2.697466856019415354e+04 1.845920281262290882e+04 1.589938427886680369e-02 -4.530953372521397192e-04 6.315261132812500000e+04
1.390653911847565178e+04 1.020784920480887740e+04 1.793755716164446498e-02 -2.889094141683840045e-04 6.699000781250000000e+04
-3.900407316201629146e+04 -9.150759203798112139e+03 1.565007698150439053e-02 8.198729549985005270e-05 6.198710742187500000e+04
5.103355249778516736e+03 2.481151168374556801e+04 1.638757671746196576e-02 -8.051579887330179066e-04 5.679499804687500000e+04
-1.428396205855139306e+04 2.812201185004664512e+04 1.609863944514701786e-02 -1.009077960395662237e-03 6.217740625000000000e+04
