# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
2.141734582139807389e+04 -1.001797795865847911e+04 1.806048318435275399e-02 5.058122840875604572e-04 5.902436132812500000e+04
5.120750602087150583e+02 -3.252944325302973812e+04 1.516323096167146792e-02 9.935410004502447882e-04 5.868348242187500000e+04
2.651387060679085698e+04 -3.241973436687196954e+04 1.499565129460868687e-02 1.123914106832562057e-03 6.058914257812500000e+04
1.344346617406472433e+04 -4.067087819177525671e+04 1.443327373186869926e-02 1.252068916364026605e-03 6.435365429687500000e+04
-3.946293554877645511e+04 -6.002818497678796848e+04 1.335893542845142251e-02 1.418963426476421751e-03 5.955120703125000000e+04
4.638657556175084210e+03 -2.606688942331186263e+04 1.606300192837883251e-02 8.681155037139533931e-04 5.450878515625000000e+04
-1.475018877468011669e+04 -2.275583402288516663e+04 1.608453618408572233e-02 6.468315766754538640e-04 5.966642382812500000e+04
1.549285487306893629e+04 -3.070491931010181816e+03 1.921285756786407506e-02 2.282240650804597004e-04 6.013998046875000000e+04
-2.065470515774289015e+04 -1.800019280033638643e+04 1.645392514100995837e-02 4.686528641359073732e-04 5.334741992187500000e+04
1.887678331924089071e+04 -3.540520857609019731e+04 1.483706748880791321e-02 1.159307066264051583e-03 6.155252148437500000e+04
-7.954794533244487866e+03 -9.610649840322919772e+03 1.884461459988926585e-02 3.079106114194932122e-04 5.665798242187500000e+04
-4.133716157334065429e+03 -4.126440518259605597e+04 1.433616913060800635e-02 1.167137571679783322e-03 6.013762890625000000e+04
1.044553524373075925e+04 -2.672725785656703374e+04 1.594889082107694631e-02 9.174369501959827580e-04 6.261539453125000000e+04
5.869395767278269886e+03 -1.044531547315704847e+04 1.901671084479440374e-02 4.396674723005557922e-04 5.334628320312500000e+04
2.351164966986345098e+04 -2.049019522351145497e+04 1.649934759632899761e-02 8.219400371769130858e-04 5.837231054687500000e+04
-1.776047348274658134e+03 -9.536782228878704700e+03 1.916019377340694510e-02 3.539495277223301314e-04 5.670578320312500000e+04
-1.780557006291656944e+04 -5.883831339633284188e+03 1.850013484274054890e-02 9.669375486259824146e-05 6.064802539062500000e+04
9.366167243888945450e+03 1.607791429205567329e+04 1.751248220929762719e-02 -5.042805168977149144e-04 5.770785937500000000e+04
-1.315166115630705099e+04 -8.437762702543441264e+03 1.862627332766287822e-02 2.247735244005184493e-04 6.020923046875000000e+04
-4.340920811953328666e+04 1.851976455771842302e+04 1.548063154217394974e-02 -8.238783171662457426e-04 5.582502148437500000e+04
1.990648901266507528e+04 -2.484699759882506987e+04 1.603656746316464363e-02 9.180077880452366858e-04 5.733332031250000000e+04
-1.746211122992232049e+03 -1.523777150345313385e+04 1.801169650001421471e-02 5.389966315361946784e-04 5.654977929687500000e+04
-1.085647297478573091e+04 -3.370917070018523373e+04 1.487036471267086379e-02 9.470060252726226644e-04 5.326863671875000000e+04
-7.765446701105290231e+03 -2.892134444890260420e+04 1.546701143180922826e-02 8.536710405310206709e-04 6.063579882812500000e+04
2.252822632263724881e+04 -2.914055939123878488e+04 1.542412771846260119e-02 1.031267346829240232e-03 6.325391796875000000e+04
-1.307543800198584540e+04 -2.939908154129528339e+04 1.527260177333454420e-02 8.275869637939676495e-04 6.072583203125000000e+04
4.208336778921677615e+04 -4.692394996393368638e+04 1.385445814418194768e-02 1.525219568464527154e-03 5.803745312500000000e+04
1.681903429698156106e+04 -3.094180776162923576e+04 1.532288700775669490e-02 1.047659939059698755e-03 6.183978515625000000e+04
-4.741535892002520086e+03 2.164625789467215509e+04 1.681697610393028883e-02 -7.600376234181260154e-04 5.335999414062500000e+04
7.962644110909755909e+03 -5.525800392059164551e+03 1.966005413277679276e-02 2.756970290573341077e-04 5.422416601562500000e+04
3.019646634697525224e+04 -1.352053202139555833e+04 1.687175846289312026e-02 6.459166109368818815e-04 6.030676757812500000e+04
1.569526959412642464e+04 -3.544077113892637863e+04 1.486199306309845224e-02 1.144758625288895808e-03 6.250856250000000000e+04
3.748449499503421976e+04 1.017042637743882187e+04 1.599025926802368630e-02 -1.048683172501085209e-04 6.483613085937500000e+04
2.394570396530420112e+04 -2.974541979793256178e+04 1.532289824454399242e-02 1.051228387452524679e-03 5.698829296875000000e+04
1.102350070313684955e+04 -1.916829738553721108e+04 1.721386963657825855e-02 7.322632702756182166e-04 6.430214453125000000e+04
2.768015747442046268e+04 -4.124143336721603555e+04 1.429552628539163851e-02 1.332359735226872847e-03 6.781351562500000000e+04
3.181889715956155851e+04 7.500019622268041530e+03 1.674996319794194027e-02 -5.517818225045990785e-05 6.137152734375000000e+04
1.808149671072785350e+04 -6.302062982334685330e+03 1.875706487671011113e-02 3.623391691143585183e-04 6.371402148437500000e+04
4.715617823164388938e+03 -2.697734417319110435e+04 1.592401852721607100e-02 8.902230649737316809e-04 5.968792578125000000e+04
3.754276850595830911e+04 2.555242986535881937e+04 1.475231665587933665e-02 -5.517948407120726404e-04 4.813119726562500000e+04
2.865605314824682864e+04 -3.221665692371249679e+04 1.496666215733330300e-02 1.127515251467581508e-03 6.303964257812500000e+04
9.714878895071507941e+03 1.391412205704057669e+04 1.791093575173986763e-02 -4.356642272763400496e-04 6.456364062500000000e+04
3.757270435652013111e+04 5.421729081969141589e+03 1.631661315663642323e-02 4.892222526600686070e-05 6.288860546875000000e+04
1.666989316917685210e+04 -1.709417530662973877e+04 1.737583284043218643e-02 7.030335363456320132e-04 6.266838867187500000e+04
4.267003407552702265e+04 -1.697596266765034670e+04 1.562531241937614029e-02 7.787947197713293145e-04 6.459204101562500000e+04
2.960111844403647410e+04 -2.523074806201287720e+04 1.563268360958974118e-02 9.631134853239481635e-04 6.874499804687500000e+04
-2.330514030861670835e+04 -4.459542726073135418e+04 1.394153453875744512e-02 1.129430626733688445e-03 6.362278320312500000e+04
2.079513658182323343e+04 -1.062940484378158180e+04 1.804878651950317381e-02 5.234857254057017273e-04 5.814051367187500000e+04
1.406174446662230594e+03 -7.322854594504789020e+03 1.959037831040922467e-02 2.979093238680969018e-04 6.362845507812500000e+04
3.164790656934478466e+04 1.236725654442433733e+04 1.629581098883438328e-02 -2.137967871027645684e-04 6.415324609375000000e+04
-4.500279008719056947e+03 -2.565581812992988944e+03 1.999513183573301683e-02 6.966251116497152764e-05 5.691006250000000000e+04
3.503283048956838320e+04 -1.996221593011126606e+04 1.589065668883635901e-02 8.425184058365481777e-04 6.578960546875000000e+04
8.198456885398743907e+03 5.827120032817271749e+03 1.943171070916426685e-02 -1.682800196389813133e-04 6.039834570312500000e+04
1.202441645553304625e+04 -2.582887116773606249e+04 1.606650368472465826e-02 9.045562521690873057e-04 6.418778320312500000e+04
2.660259064927936561e+04 -1.128965981040132465e+04 1.742198310495743363e-02 5.657883858769915042e-04 6.676663476562500000e+04
2.202438462897382851e+04 4.992002456024552885e+03 1.810348971108254046e-02 -3.404115582181711406e-05 5.688566015625000000e+04
3.966712421643176640e+04 -5.048225438933514852e+03 1.637669104162256181e-02 4.057322440332786760e-04 6.234438281250000000e+04
1.437848968501817762e+04 5.899794012507379193e+03 1.886914474639892272e-02 -1.231023927437233816e-04 6.047309375000000000e+04
-1.651570386413032111e+03 9.549503950601467295e+03 1.921703109199424803e-02 -3.798178865443019585e-04 6.475628320312500000e+04
2.551573094908855637e+04 3.152089894666213149e+04 1.470666386473212274e-02 -7.919415755045465782e-04 6.166269140625000000e+04
3.001408244013080548e+03 6.999004110002637390e+03 1.955088287868498448e-02 -2.527862696514091272e-04 6.418297460937500000e+04
-2.725811661340955106e+04 3.394824233543305309e+04 1.484340412164115303e-02 -1.162376291215984174e-03 5.962334960937500000e+04
3.606133843984831765e+04 -9.403519920345532228e+03 1.661266327738526033e-02 5.346727078950671425e-04 6.116511328125000000e+04
